Code,Paper Name,Credits
ES-101,Programming in ‘C’,3
BS-103,Applied Chemistry,3
BS-105,Applied Physics I,3
ES-107,Electrical Science,3
BS-109,Environmental Studies,3
BS-111,Applied Mathematics I,4
HS-113,Communication Skills,3
HS-115,Indian Constitution,2
HS-117,Human Values and Ethics,1
ES-119,Manufacturing Process,4
BS-151,Physics I Lab,1
ES-153,Programming in ‘C’ Lab,1
BS-155,Applied Chemistry Lab,1
ES-157,Engineering Graphics I,2
ES-159,Electrical Science Lab,1
BS-161,Environmental Studies Lab,1
ES-102,Programming in ‘C’,3
BS-104,Applied Chemistry,3
BS-106,Applied Physics II,3
ES-108,Electrical Science,3
BS-110,Environmental Studies,3
BS-112,Applied Mathematics II,4
HS-114,Communication Skills,3
HS-116,Indian Constitution,2
HS-118,Human Values and Ethics,1
ES-114,Engineering Mechanics,3
BS-152,Physics II Lab,1
ES-154,Programming in ‘C’ Lab,1
BS-156,Applied Chemistry Lab,1
ES-158,Engineering Graphics II,1
ES-160,Electrical Science Lab,1
BS-162,Environmental Studies Lab,1
ES-164,Workshop Practice,2
ES-201,Computational Methods,4
HS-203,Indian Knowledge System,2
CIC-205,Discrete Mathematics,4
ECC-207,Digital Logic and Computer Design,4
CIC-209,Data Structures,4
CIC-211,Object Oriented Programming using C++,4
ES-251,Computational Methods Lab,1
ECC-253,Digital Logic and Computer Design Lab,1
CIC-255,Data Structures Lab,1
CIC-257,Object Oriented Programming using C++ Lab,1
BS-202,"Probability, Statistics and Linear Programming",4
HS-204,Technical Writing,2
CIC-206,Theory of Computation,4
EEC-208,Circuits and Systems,4
CIC-210,Database Management Systems,4
CIC-212,Programming in Java,4
BS-252,"Probability, Statistics and Linear Programming Lab",1
EEC-254,Circuits and Systems Lab,1
CIC-256,Database Management Systems Lab,1
CIC-258,Programming in Java Lab,1
HS-301,Economics for Engineers,2
CIC-303,Compiler Design,3
CIC-305,Operating Systems,4
CIC-307,Computer Networks,4
CIC-309,Software Engineering,3
CIC-311,Design and Analysis of Algorithm,4
CIC-351,Compiler Design Lab,1
CIC-353,Operating Systems Lab,1
CIC-355,Computer Networks Lab,1
CIC-357,Software Engineering Lab,1
CIC-359,Design and Analysis of Algorithm Lab,1
ES-361,Summer Training Report 1,1
MS-302,Principles of Management for Engineers,3
HS-304,Universal Human Values,1
PCE-1,Programme Core Elective Paper 1,4
PCE-2,Programme Core Elective Paper 2,4
PCE-3,Programme Core Elective Paper 3,4
EAE-1,Emerging Area,4
EAE-2,Emerging Area,4
HS-352,NSS / NCC / Cultural Clubs / Technical Society,2
MS-401,Principles of Entrepreneurship Mindset,2
PCE-4,Programme Core Elective Paper 4,4
PCE-5,Programme Core Elective Paper 5,4
EAE-3,Emerging Area,4
EAE-4,Emerging Area,4
EAE-5,Emerging Area,4
ES-451,Minor Project,3
ES-453,Summer Training Report 2,1
ES-452,Major Project Dissertation and Viva Voce,18
ES-454,Project Progress Evaluation,2
ES-456,Internship Report and Viva Voce,18
ES-458,Internship Progress Evaluation,2
CIE-306T,Advanced Java Programming,3
CIE-306P,Advanced Java Programming Lab,1
CIE-308T,Visual Basic .NET Programming,3
CIE-308P,Visual Basic .NET Programming Lab,1
CIE-312,Engineering Optimization,4
CIE-320,Principles of Programming Languages,4
CIE-322T,Simulation and Modelling,3
CIE-322P,Simulation and Modelling Lab,1
CIE-330T,Introduction to Internet of Things,3
CIE-330P,Introduction to Internet of Things Lab,1
CIE-332T,Programming in Python,3
CIE-332P,Programming in Python Lab,1
CIE-334,Quantum Computing,4
CIE-338T,Graph Theory for Computer Science,3
CIE-338P,Graph Theory for Computer Science Lab,1
CIE-348T,Software Project Management,3
CIE-348P,Software Project Management Lab,1
CIE-354T,Introduction to Digital Signal Processing,3
CIE-354P,Introduction to Digital Signal Processing Lab,1
CIE-356T,Web Technologies,3
CIE-356P,Web Technologies Lab,1
CIE-368T,Mobile Computing,3
CIE-368P,Mobile Computing Lab,1
CIE-370T,Parallel Computing,3
CIE-370P,Parallel Computing Lab,1
CIE-374T,Artificial Intelligence,3
CIE-374P,Artificial Intelligence Lab,1
CIE-403T,Blockchain Technology,3
CIE-403P,Blockchain Technology Lab,1
CIE-405T,Data Science,3
CIE-405P,Data Science Lab,1
CIE-407T,Distributed Systems and Cloud Computing,3
CIE-407P,Distributed Systems and Cloud Computing Lab,1
CIE-409T,Social Network Analysis and Sentiment Analysis,3
CIE-409P,Social Network Analysis and Sentiment Analysis Lab,1
CIE-413T,Next Generation Web,3
CIE-413P,Next Generation Web Lab,1
CIE-417T,C#.NET Programming,3
CIE-417P,C#.NET Programming Lab,1
CIE-419,Intellectual Property Rights,4
CIE-421T,Machine Learning,3
CIE-421P,Machine Learning Lab,1
CIE-425T,Data Warehousing and Data Mining,3
CIE-425P,Data Warehousing and Data Mining Lab,1
CIE-431T,Web Mining,3
CIE-431P,Web Mining Lab,1
CIE-314,Advanced Computer Architecture,4
CIE-316,Database Modelling and Design,4
CIE-328T,Analog and Digital Communications,3
CIE-328P,Analog and Digital Communications Lab,1
CIE-336,E Commerce and M Commerce,4
CIE-344T,Object Oriented Analysis and Design using UML,3
CIE-344P,Object Oriented Analysis and Design using UML Lab,1
CIE-360T,Introduction to Information and Communication Theory,3
CIE-360P,Introduction to Information and Communication Theory Lab,1
CIE-366T,Middleware Technologies,3
CIE-366P,Middleware Technologies Lab,1
CIE-415T,Wireless Communication and Networks,3
CIE-415P,Wireless Communication and Networks Lab,1
CIE-427,Introduction to Mobile Ad Hoc Networks,4
CIE-310T,Advanced DBMS,3
CIE-310P,Advanced DBMS Lab,1
CIE-324,Software Testing,4
CIE-340,IT Project Management,4
CIE-346T,Service Oriented Architecture,3
CIE-346P,Service Oriented Architecture Lab,1
